recordType,speciesCode,subGenus,verbatimSpecies,day,month,notesOnTimingOfRecord,YearObserved,Location,countryCode,stateProvince,county,municipality,locality,Primary citation,Secondary / referencing citation (if primary not found),Notes on contents of record,living,recently_living,Outside entrance
Literature,LACI,Aeorestes,,,,1907,1907,"Shawnee Cave, Mitchell, Indiana",US,Indiana,,Mitchell,Shawnee Cave,"Hahn, W. L. 1908. Some Habits and Sensory Adaptations of Cave-Inhabiting Bats. Biological Bulletin 15:135–164.",,two skulls of L. cinereus,0,,0
Literature,LABO,Lasiurus,,,,1907,1907,"Shawnee Cave, Mitchell, Indiana",US,Indiana,,Mitchell,Shawnee Cave,"Hahn, W. L. 1908. Some Habits and Sensory Adaptations of Cave-Inhabiting Bats. Biological Bulletin 15:135–164.",,two hundred skulls of L. borealis,0,,0
Literature,LABO,Lasiurus,,,,1951,1951,"Hamer Cave, Mitchell, Indiana",US,Indiana,,Mitchell,Hamer Cave,"Mumford, R. E. 1953. Hoary Bat Skull in an Indiana Cave. Journal of Mammalogy 34:121.",,One skull,0,,0
Literature,LACI,Aeorestes,,,,1951,1951,"Hamer Cave, Mitchell, Indiana",US,Indiana,,Mitchell,Hamer Cave,"Mumford, R. E. 1953. Hoary Bat Skull in an Indiana Cave. Journal of Mammalogy 34:121.",,One skull,0,,0
Literature,LACI,Aeorestes,,,,Suspected 1949,1949,"St. Paul, Minnesota",US,Minnesota,,St. Paul,St. Paul,"Beer, J. R. 1954. A Record of the Hoary Bat from a Cave. Journal of Mammalogy 35:116.",,Mummy in man-made cave,0,,0
Literature,LANO,Lasionycteris,,,,<= 1956,1956,Virginia,US,Virginia,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LANO,Lasionycteris,,,,<= 1956,1956,West Virginia,US,West Virginia,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LANO,Lasionycteris,,,,<= 1956,1956,Minnesota,US,Minnesota,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,New York,US,New York,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,Indiana,US,Indiana,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,Missouri,US,Missouri,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,Tennessee,US,Tennessee,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,New Mexico,US,New Mexico,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave(s),,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,Utah,US,Utah,,,,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in a mine,,,0
Literature,LABO,Lasiurus,,,,<= 1956,1956,"Bat Cave, Carter County, KY",US,Kentucky,Carter,,Bat Cave,,"Dearolf, K. 1956. Survey of North American cave vertebrates:201–210.",Record of occurrence in cave,,,0
Literature,LABO,Lasiurus,,,7,1954,1954,"Tunnel, Pulaski Co., Missouri",US,Missouri,Pulaski,,Tunnel,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,3 living males found by entrance of tunnel,0,,0
Literature,LABO,Lasiurus,,,7,1954-1958,1958,"Bat Cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Bat Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"46 alive / fresh dead, far inside cave",1,,0
Literature,LABO,Lasiurus,,,,1954-1958,1958,"Bat Cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Bat Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"60 skulls or skeletons, far inside cave",0,,0
Literature,LACI,Aeorestes,,,7,1954-1958,1958,"Bat Cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Bat Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"2 living males, far inside cave",1,,0
Literature,LACI,Aeorestes,,,,1954-1958,1958,"Bat Cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Bat Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"5 skulls / skeletons, far inside cave",0,,0
Literature,LABO,Lasiurus,,,9,1954,1954,"Spring Cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Spring Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"3 skulls, far inside cave",0,,0
Literature,LABO,Lasiurus,,,10,1954,1954,"Bruce Cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Bruce Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"3 skulls, far inside cave",0,,0
Literature,LABO,Lasiurus,,,10,1954-1958,1958,"Piquet Cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Piquet Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"77 alive or freshly dead, far inside cave",1,1,0
Literature,LABO,Lasiurus,,,10,1954-1958,1958,"Piquet Cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Piquet Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"190 skulls or skeletons, far inside cave",0,,0
Literature,LACI,Aeorestes,,,10,1954-1958,1958,"Piquet Cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Piquet Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"1 male dead, far inside cave",0,,0
Literature,LABO,Lasiurus,,,2,1955,1955,"Freeman Cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Freeman Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,1 mummified by entrance,0,,1
Literature,LABO,Lasiurus,,,8,1955-1958,1958,"Inca cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Inca cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"142 alive / freshly dead, far inside cave",1,1,
Literature,LABO,Lasiurus,,,8,1955-1958,1958,"Inca cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Inca cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"1100 skulls / skeletons, far inside cave",0,,
Literature,LACI,Aeorestes,,,8,1955-1958,1958,"Inca cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Inca cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"3 male, 1 living female far inside cave",1,,
Literature,LACI,Aeorestes,,,8,1955-1958,1958,"Inca cave, Pulaski Co., Missouri",US,Missouri,Pulaski,,Inca cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,2 skulls far inside cave,0,,
Literature,LABO,Lasiurus,,,4,1957,1957,"Joel Cave, Camden Co., Missouri",US,Missouri,Camden,,Joel Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"1 skull, far inside",0,,
Literature,LABO,Lasiurus,,,10,1957,1957,"Carrell Cave, Camden Co., Missouri",US,Missouri,Camden,,Carrell Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"1 skull, far inside",0,,
Literature,LABO,Lasiurus,,,10,1957,1957,"Hunter’s Cave, Boone Co., Missouri",US,Missouri,Boone,,Hunter’s Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"1 mummified, by entrance",0,,0.5
Literature,LABO,Lasiurus,,,11,1957,1957,"Unnamed cave, Boone Co., Missouri",US,Missouri,Boone,,Unnamed cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"1 skull, far inside",0,,
Literature,LABO,Lasiurus,,,4,1958,1958,"Powder Mill Cave, Shannon Co, Missouri",US,Missouri,Shannon,,Powder Mill Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"5 skulls, far inside",0,,
Literature,LACI,Aeorestes,,,4,1958,1958,"Powder Mill Cave, Shannon Co, Missouri",US,Missouri,Shannon,,Powder Mill Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"1 skull, far inside",0,,
Literature,LABO,Lasiurus,,,8,1958,1958,"Bat Cave, Laclede Co., Missouri",US,Missouri,Laclede,,Bat Cave,"Myers, R. F. 1960. Lasiurus from Missouri Caves. Journal of Mammalogy 41:114–117.",,"1 skeleton, far inside",0,,
Literature,LABO,Lasiurus,,,8-Jul,1970-1971,1971,"Donnehue's Cave, Lawrence County, Indiana",US,Indiana,Lawrence,,Donnehue's Cave,"Mumford, R. E., and J. O. Whitaker. 1974. Seasonal Activity of Bats at an Indiana Cave. Proceedings of the Indiana Academy of Science 84:500–507.",,"Seven (4 female, 3 male) captured at cave entrance",1,,1
Literature,LABO,Lasiurus,,,,1974 or prior???,1974,"Blanchard Springs Caverns, Ozark National Forest, Arkansas",US,Arkansas,,,"Blanchard Springs Caverns, Ozark National Forest","Grove, J. L. 1974. Ecology of Blanchard Springs Caverns, Ozark National Forest, Arkansas. Memphis State University.","McDaniel, V. R., and J. E. Gardner. 1977. Cave Fauna of Arkansas: Vertebrate Taxa 31:5.","Skeleton(s) found in cave, “twilight zone.”. Deemed “uncommon” “accidental.”",0,,
Literature,LACI,Aeorestes,,,,1974 or prior???,1974,"Blanchard Springs Caverns, Ozark National Forest, Arkansas",US,Arkansas,,,"Blanchard Springs Caverns, Ozark National Forest","Grove, J. L. 1974. Ecology of Blanchard Springs Caverns, Ozark National Forest, Arkansas. Memphis State University.","McDaniel, V. R., and J. E. Gardner. 1977. Cave Fauna of Arkansas: Vertebrate Taxa 31:5.","Skeleton(s) found in cave, constant temperature zone. Deemed “rare” “accidental”.",0,,
Literature,LABO,Lasiurus,,30,7,1954,1954,"Bat Cave, Carter Caves State Park, Carter County, Kentucky",US,Kentucky,,,Bat Cave,"Quay, W. B., and J. S. Miller. 1955. Occurrence of the Red Bat, Lasiurus borealis, in Caves. Journal of Mammalogy 36:454–455.",,"Live male, found 150 ft from the main entrance during the middle of the afternoon",1,,0
Literature,LABO,Lasiurus,,,,<= 1893,1893,"Albany, NY",US,New York,,Albany,,"Allen, H. 1893. A monograph of the bats of North America. G.P.O., Washington.","Quay, W. B., and J. S. Miller. 1955. Occurrence of the Red Bat, Lasiurus borealis, in Caves. Journal of Mammalogy 36:454–455.","Specimens have been obtained from a cave near Albany, NY by G. J. Green",,,
Literature,LABO,Lasiurus,,,,<= 1893,1893,"Short Cave, KY",US,Kentucky,,,Short Cave,"Allen, H. 1893. A monograph of the bats of North America. G.P.O., Washington.","Quay, W. B., and J. S. Miller. 1955. Occurrence of the Red Bat, Lasiurus borealis, in Caves. Journal of Mammalogy 36:454–455.","The collection of the Museum of Comparative Zoology contains a specimen (No 5991) which was secured in Short Cave, Kentucky",,,
Literature,LABO,Lasiurus,,,,<= 1928,1928,Carlsbad caverns,US,,,,Carlsbad caverns,"Bailey, V. 1928. Animal life of the Carlsbad Cavern. Williams & Wilkins.","Quay, W. B., and J. S. Miller. 1955. Occurrence of the Red Bat, Lasiurus borealis, in Caves. Journal of Mammalogy 36:454–455.",Bailey (1928) found two skulls on the floor of the deepest room in Carlsbad Caverns.,0,,
Literature,LABO,Lasiurus,,,,<= 1907,1907,"Wyandotte Cave, Indiana",US,Indiana,,,Wyandotte Cave,,"Hahn, W. L. 1907. The mammalian remains of the Donaldson Cave. Proceedings of the Indiana Academy of Science 16:142–144.; Quay, W. B., and J. S. Miller. 1955. Occurrence of the Red Bat, Lasiurus borealis, in Caves. Journal of Mammalogy 36:454–455.","W.S. Blatchley had informed him that Wyandotte Cave, Indiana, the ratio of Lasiurus borealis to Myotis lucifugus is 1:1000.",,,
Literature,LABL,Lasiurus,,,9,17,1941,"Kenilworth Mine, Carbon County, Utah",US,Utah,Carbon,,Kenilworth Mine,"Hardy, R. 1941. Some Notes on Utah Bats. Journal of Mammalogy 22:289–295.","Quay, W. B., and J. S. Miller. 1955. Occurrence of the Red Bat, Lasiurus borealis, in Caves. Journal of Mammalogy 36:454–455.","Hardy (1941) reported finding two specimens on the walls of the Kenilworth Mine, Carbon County, Utah, September 17, not far from the entrance.",,,0
Literature,LABO,Lasiurus,,,,<= 1897,1897,"Marble Cave, Stone County, Missouri",US,Missouri,Stone,,Marble Cave,"Miller Jr., G. S. 1897. Revision of the North American bats off the family Vespertilionidae. Federal Government Series, U.S. Fish and Wildlife Service.","Quay, W. B., and J. S. Miller. 1955. Occurrence of the Red Bat, Lasiurus borealis, in Caves. Journal of Mammalogy 36:454–455.",One specimen obtained in cave and examined as part of this paper.,,,
Literature,LABO,Lasiurus,,,,1950,1950,"Nickajack Cave, Shellmound, Tennessee",US,Tennessee,,Sellmound,Nickajack Cave,"Mohr, C. E. 1952. A cave record for the red bat, Lasiurus b. borealis. The American Caver 14:62–63.","Quay, W. B., and J. S. Miller. 1955. Occurrence of the Red Bat, Lasiurus borealis, in Caves. Journal of Mammalogy 36:454–455.","dead female found in cave, estimated time of death summer or fall of that year",0,1,
Literature,LANO,Lasionycteris,,25,1,1962,1962,"Trout Cave, 3.5 miles SW of Franklin, Pendleton County, West Virginia",US,West Virginia,Pendleton,,Trout Cave,"Krutzsch, P. H. 1966. Remarks on Silver-Haired and Leib’s Bats in Eastern United States. Journal of Mammalogy 47:121–121.",,"Alive, torpid, in cave",1,,
Literature,LANO,Lasionycteris,,29,1,1962,1962,"Schoolhouse Cave, Germany Valley, Pendleton County, West Virginia",US,West Virginia,Pendleton,,"Schoolhouse Cave, Germany Valley","Krutzsch, P. H. 1966. Remarks on Silver-Haired and Leib’s Bats in Eastern United States. Journal of Mammalogy 47:121–121.",,"Alive, torpid, in cave",1,,
Literature,LANO,Lasionycteris,,25,11,1961,1961,"Organ Cave, Greenbrier County, West Virginia",US,West Virginia,Greenbrier,,Organ Cave,"Krutzsch, P. H. 1966. Remarks on Silver-Haired and Leib’s Bats in Eastern United States. Journal of Mammalogy 47:121–121.",,"Alive, torpid, in cave",1,,
Literature,LANO,Lasionycteris,,11,2,2004,2004,"Joe Davis Hill, San Miguel County, Colorado",US,Colorado,San Miguel,,Joe Davis Hill,"Bonewell, L. R., M. A. Hayes, N. Lamantia-olson, E. Wostl, and K. W. Navo. 2017. Silver-Haired Bats Associated with Abandoned Mines in Colorado Provide Insights Into Winter Habitat and Roost Use 77:404–407.",,"Two bats detected alive, torpid, daytime 30m inside in abandoned mine",1,,
Literature,LANO,Lasionycteris,,12,2,2004,2004,"Joe Davis Hill, San Miguel County, Colorado",US,Colorado,San Miguel,,Joe Davis Hill,"Bonewell, L. R., M. A. Hayes, N. Lamantia-olson, E. Wostl, and K. W. Navo. 2017. Silver-Haired Bats Associated with Abandoned Mines in Colorado Provide Insights Into Winter Habitat and Roost Use 77:404–407.",,"Alive, torpid, daytime in abandoned mine",1,,
Literature,LANO,Lasionycteris,,18,1,2005,2005,"Hieroglyphic Mesa, Montrose County, Colorado",US,Colorado,Montrose,,Hieroglyphic Mesa,"Bonewell, L. R., M. A. Hayes, N. Lamantia-olson, E. Wostl, and K. W. Navo. 2017. Silver-Haired Bats Associated with Abandoned Mines in Colorado Provide Insights Into Winter Habitat and Roost Use 77:404–407.",,"Alive, torpid, daytime 30m inside in abandoned mine",1,,
Literature,LANO,Lasionycteris,,6,2,2008,2008,"Davis Mesa, Montrose Co., Colorado",US,Colorado,Montrose,,Davis Mesa,"Bonewell, L. R., M. A. Hayes, N. Lamantia-olson, E. Wostl, and K. W. Navo. 2017. Silver-Haired Bats Associated with Abandoned Mines in Colorado Provide Insights Into Winter Habitat and Roost Use 77:404–407.",,"Alive, torpid, daytime in abandoned mine",1,,
Literature,LANO,Lasionycteris,,8,6,2005,2005,"Hieroglyphic Canyon, Montrose Co., Colorado",US,Colorado,Montrose,,Hieroglyphic Canyon,"Bonewell, L. R., M. A. Hayes, N. Lamantia-olson, E. Wostl, and K. W. Navo. 2017. Silver-Haired Bats Associated with Abandoned Mines in Colorado Provide Insights Into Winter Habitat and Roost Use 77:404–407.",,Captured adult male in harp trap outside mine between 21:30 and 00:00,1,,1
Literature,LANO,Lasionycteris,,14,1,2013,2013,"near Uravan (Montrose County, Colorado",US,Colorado,Montrose,,near Uravan (Montrose County,"Personal communication, D. Neubaum reported in Bonewell et al. 2017","Bonewell, L. R., M. A. Hayes, N. Lamantia-olson, E. Wostl, and K. W. Navo. 2017. Silver-Haired Bats Associated with Abandoned Mines in Colorado Provide Insights Into Winter Habitat and Roost Use 77:404–407.",Roosting in abandoned mine,1,,
iNaturalistRecord,LABO,Lasiurus,,15,8,2019,2019,"Bowling Green, KY, US",US,Kentucky,,Bowling Green,,https://www.inaturalist.org/observations/30965198,,"Apparently alive, in cave used for tours",1,,
MuseumRecord,LABO,Lasiurus,,9,10,1971,1971,"Stone Co., Arkansas",US,Arkansas,Stone Co.,,,"Lanier H, Braun J, King P (2019). Mammals Specimens. Sam Noble Oklahoma Museum of Natural History. Occurrence dataset https://doi.org/10.15468/fmuion accessed via GBIF.org on 2019-12-15.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2019-12-15",,One male captured in cave,1,,
MuseumRecord,LACI,Aeorestes,,5,9,1965,1965,"Pulaski Co., Missouri",US,Missouri,Pulaski Co.,,,Esselstyn J (2017). LSUMZ Mammals Collection. Louisiana State University Museum of Natural Science. Occurrence dataset https://doi.org/10.15468/wxiqf6 accessed via GBIF.org on 2019-12-15.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2019-12-15,,One male captured in cave.,1,,
MuseumRecord,LANO,Lasionycteris,,9,6,1893,1893,North Carolina,US,North Carolina,,,,"Orrell T (2019). NMNH Extant Specimen Records. Version 1.26. National Museum of Natural History, Smithsonian Institution. Occurrence dataset https://doi.org/10.15468/hnhrg3 accessed via GBIF.org on 2019-12-15.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2019-12-15",,One male captured in cave.,1,,
MuseumRecord,LANO,Lasionycteris,,28,12,1974,1974,"Greene Co., Indiana",US,Indiana,Greene Co.,,,Garner H (2016). TTU Mammals Collection. Version 9.1. Museum of Texas Tech University (TTU). Occurrence dataset https://doi.org/10.15468/yocqyp accessed via GBIF.org on 2019-12-15.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2019-12-15,,One male captured in cave.,1,,
MuseumRecord,LANO,Lasionycteris,,28,12,1961,1961,"Pendleton Co., West Virginia",US,West Virginia,Pendleton Co.,,,Garner H (2016). TTU Mammals Collection. Version 9.1. Museum of Texas Tech University (TTU). Occurrence dataset https://doi.org/10.15468/yocqyp accessed via GBIF.org on 2019-12-15.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2019-12-15,,Two males captured in cave.,1,,
MuseumRecord,LABO,Lasiurus,,31,8,1963,1963,"Pulaski Co., Missouri",US,Missouri,Pulaski Co.,,,Slade N (2019). KUBI Mammalogy Collection. Version 26.28. University of Kansas Biodiversity Institute. Occurrence dataset https://doi.org/10.15468/a3woj7 accessed via GBIF.org on 2019-12-15.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2019-12-15,,One female and three males captured in a cave.,1,,
MuseumRecord,LABO,Lasiurus,,6,9,1964,1964,"Pulaski Co., Missouri",US,Missouri,Pulaski Co.,,,Slade N (2019). KUBI Mammalogy Collection. Version 26.28. University of Kansas Biodiversity Institute. Occurrence dataset https://doi.org/10.15468/a3woj7 accessed via GBIF.org on 2019-12-15.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2019-12-15,,One female and two males captured in a cave.,1,,
MuseumRecord,LABO,Lasiurus,,5,9,1965,1965,"Pulaski Co., Missouri",US,Missouri,Pulaski Co.,,,Slade N (2019). KUBI Mammalogy Collection. Version 26.28. University of Kansas Biodiversity Institute. Occurrence dataset https://doi.org/10.15468/a3woj7 accessed via GBIF.org on 2019-12-15.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2019-12-15,,One male captured in a cave.,1,,
MuseumRecord,LACI,Aeorestes,,6,9,1964,1964,"Pulaski Co., Missouri",US,Missouri,Pulaski Co.,,,Slade N (2019). KUBI Mammalogy Collection. Version 26.28. University of Kansas Biodiversity Institute. Occurrence dataset https://doi.org/10.15468/a3woj7 accessed via GBIF.org on 2019-12-15.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2019-12-15,,Four males captured in a cave.,1,,
MuseumRecord,LACI,Aeorestes,,5,9,1965,1965,"Pulaski Co., Missouri",US,Missouri,Pulaski Co.,,,Slade N (2019). KUBI Mammalogy Collection. Version 26.28. University of Kansas Biodiversity Institute. Occurrence dataset https://doi.org/10.15468/a3woj7 accessed via GBIF.org on 2019-12-15.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2019-12-15,,Two males and a sex-unidentified bat captured in a cave.,1,,
Literature,LANO,Lasionycteris,,12,4,1952,1952,"Greenville Saltpeter Cave, Greenville, Monroe Co., West Virginia",US,West Virginia,Monroe,Greenville,Greenville Saltpeter Cave,"Davis, W. H. 1952. A West Virginia cave record for the silver-haired bat. American Cavers Bulletin 14:63.","Also mentioned in: Frum, W. G. 1953. Silver-haired bat, Lasionycteris noctivagans, in West Virginia. Journal of Mammalogy 34:499–500.","Adult male found alive,~ 1000ft from cave entrance",1,,
Literature,LANO,Lasionycteris,,,11,1951,1951,"Rumbolt Cave, near Covington Virginia",US,Virginia,,Covington,Rumbolt Cave,"Rogers, N. 1952. Two silver-haired bats, Lasionycteris noctivagans, found in a Virginia Cave. American Cavers Bulletin 14:63.",,Two male silver-haired bats found alive in cave,1,,
Literature,LANO,Lasionycteris,,12,2,1955,1955,"Alexander County, Illinois",US,Illinois,Alexander,,Alexander County,"Layne, J. N. 1958. Notes on Mammals of Southern Illinois. The American Midland Naturalist 60:219–254.",,Four individuals found hibernating in two inactive silica mines,1,,
Literature,LANO,Lasionycteris,,,Two winters,1958-1960,1960,"Alexander and Union Co., Illinois",US,Illinois,Alexander and Union,,Alexander and Union Co.,"Pearson, E. W. 1962. Bats Hibernating in Silica Mines in Southern Illinois. Journal of Mammalogy 43:27.",,"seven males and ten females collected alive in 10 searches of eight silica mines, most torpid (a few roused)",1,,
