recordType,speciesCode,subGenus,verbatimSpecies,day,month,notesOnTimingOfRecord,YearObserved,Location,countryCode,stateProvince,county,municipality,locality,Primary citation,Secondary / referencing citation (if primary not found),Notes on contents of record,living,recently_living,Outside entrance
Literature,LACI,Aeorestes,,,,1907,1907,"Donaldson Cave, three miles southeast of Mitchell, Indiana",US,Indiana,,Mitchell,"Donaldson Cave, three miles southeast of Mitchell","Hahn, W. L. 1907. The mammalian remains of the Donaldson Cave. Proceedings of the Indiana Academy of Science 16:142–144.","Mumford, R. E. 1953. Hoary Bat Skull in an Indiana Cave. Journal of Mammalogy 34:121.",two partial skulls and skeletons found in cave,0,,
Literature,LABO,Lasiurus,,,,1907,1907,"Donaldson Cave, three miles southeast of Mitchell, Indiana",US,Indiana,,Mitchell,"Donaldson Cave, three miles southeast of Mitchell","Hahn, W. L. 1907. The mammalian remains of the Donaldson Cave. Proceedings of the Indiana Academy of Science 16:142–144.","Mumford, R. E. 1953. Hoary Bat Skull in an Indiana Cave. Journal of Mammalogy 34:121",More or less complete skulls and skeletons of 203 individuals found in cave,0,,
Literature,LANO,Lasionycteris,,27,1,1954,1954,"3 miles SW Elco, Alexander County, Illinois",US,Illinois,Alexander,Elco,3 miles SW Elco,"Smith, P. W., and P. W. Parmalee. 1954. Notes on Distribution and Habits of Some Bats from Illinois. Transactions of the Kansas Academy of Science (1903-) 57:200.",,Three bats collected alive from silica mine,1,,
Literature,LANO,Lasionycteris,,2,2,1954,1954,"3 miles SW Elco, Alexander County, Illinois",US,Illinois,Alexander,Elco,3 miles SW Elco,"Smith, P. W., and P. W. Parmalee. 1954. Notes on Distribution and Habits of Some Bats from Illinois. Transactions of the Kansas Academy of Science (1903-) 57:200.",,One bat collected alive from silica mine,1,,
Literature,LANO,Lasionycteris,,26,1,1992,1992,"Okanagan, mine 2; British Columbia",CA,British Columbia,,,"Okanagan, Mine 2","Nagorsen, D., A. Bryant, and D. Kerridge. 1993. Winter bat records for British Columbia. Northwestern Naturalist.",,“active individual found in a mine adit”,1,,
Literature,LANO,Lasionycteris,,19,11,1967,1967,"Dark Canyon, Pennington Co., South Dakota",US,South Dakota,Pennington,,Dark Canyon,"Turner, R. W. 1974. Mammals of the Black Hills of South Dakota and Wyoming. Miscellaneous publication - University of Kansas, Museum of Natural History. 60:1–178.",,A solitary male was taken from an unnamed cave in a semi-torpid state,1,,
Literature,LANO,Lasionycteris,,23,1,1952,1952,"Stillwater, Minnesota",US,Minnesota,,,Stillwater,"Beer, J. R. 1956. A Record of a Silver-Haired Bat in a Cave. Journal of Mammalogy 37:282–282.",,Male found hibernating in a shallow cave.,1,,
Literature,LABO,Lasiurus,,,,<= 1978,1978,"Rowland Cave in Stone County, Sylamore Ranger District. Ozark National Forest",US,Arkansas,Stone,,Rowland Cave,"Saugey, D. A., R. H. Baber, and V. R. McDaniel. 1978. Unusual Accumulation of Bat Remains from an Ozark Cave 32:3.",,Skel remains of 140 individuals in limestone cave,0,,
Literature,LACI,Aeorestes,,,,<= 1978,1978,"Rowland Cave in Stone County, Sylamore Ranger District. Ozark National Forest",US,Arkansas,Stone,,Rowland Cave,"Saugey, D. A., R. H. Baber, and V. R. McDaniel. 1978. Unusual Accumulation of Bat Remains from an Ozark Cave 32:3.",,Skel remains of 6 individuals in limestone cave,0,,
Literature,LANO,Lasionycteris,,,,<= 1978,1978,"Rowland Cave in Stone County, Sylamore Ranger District. Ozark National Forest",US,Arkansas,Stone,,Rowland Cave,"Saugey, D. A., R. H. Baber, and V. R. McDaniel. 1978. Unusual Accumulation of Bat Remains from an Ozark Cave 32:3.",,Remains of 1 individual found in limestone cave,0,,
Literature,LABO,Lasiurus,,,1,1993,1993,"Rowland Cave in Stone County, Sylamore Ranger District. Ozark National Forest",US,Arkansas,Stone,,Rowland Cave,"Saugey, D. A., R. H. Baber, and V. R. McDaniel. 1978. Unusual Accumulation of Bat Remains from an Ozark Cave 32:3.",,"Remains of 10 individuals
“significant accumulations may occur over a long period of time”",0,,
Literature,LABO,Lasiurus,,5,10,1991,1991,"Cushman cave in Independence County, Arkansas",US,Arkansas,Independence,,Cushman Cave,"Saugey, D. A., R. H. Baber, and V. R. McDaniel. 1978. Unusual Accumulation of Bat Remains from an Ozark Cave 32:3.",,three red bat skulls,0,0,
Literature,LANO,Lasionycteris,,5,12,1991,1991,"southern slope of the White Mountains (Inyo Co., California; 2050 m).",,California,Inyo,,,"Szewczak, J. M., S. M. Szewczak, M. L. Morrison, and L. S. Hall. 1998. Bats of the White and Inyo Mountains of California-Nevada 58:66–75.",,"“On 5 December 1991 we observed an individual [LANO] hibernating in a drill hole in a mine developed in dolomitic marble on the southern slope of the White Mountains (Inyo Co., California; 2050 m).”",1,1,
Literature,LABL,Lasiurus,Lasiurus borealis teliotis,17,9,1937,1937,Kenilworth mine in Carbon County,US,Utah,Carbon,,,"Hardy, R. 1941. Some Notes on Utah Bats. Journal of Mammalogy 22:289–295.",,"""Specimens examined: CARBON, Kenilworth Mine, 2 [...] The two Kenilworth specimens were found September 17, 1937, hanging on the walls of a mine not far from the entrance""",1,1,
Literature,LABL,Lasiurus,Lasiurus borealis borealis,20,2,1953,1953,"Carlsbad Cavern, New Mexico",US,New Mexico,,,Carlsbad Cavern,"Constantine, D. G. 1961. Locality Records and Notes on Western Bats. Journal of Mammalogy 42:404–405.",,"""On 20 February 1958 the writer collected three mummies in the ""Mummy Room,” a side room off the main corridor of the cavern. These and other mummies as well as skulls, taken in the cavern, are in the park collection""",0,,
Literature,LABL,Lasiurus,Lasiurus borealis borealis,25,6,1953,1953,"Carlsbad Cavern, New Mexico",US,New Mexico,,,Carlsbad Cavern,"Constantine, D. G. 1961. Locality Records and Notes on Western Bats. Journal of Mammalogy 42:404–405.",,"""On 25 June 1953, a live female, containing two fetuses, was captured in the lunch room section of the cavern by one of the park personnel. The skin of this specimen is in the park collection.""",1,,
Literature,LABL,Lasiurus,Lasiurus borealis borealis,7,10,1956,1956,"Carlsbad Cavern, New Mexico",US,New Mexico,,,Carlsbad Cavern,"Constantine, D. G. 1961. Locality Records and Notes on Western Bats. Journal of Mammalogy 42:404–405.",,""" The park records contain a notation that a living specimen was taken in the King's Palace section of the cavern on 25 September 1951""",1,,
Literature,LASE,Lasiurus,LASE,19,9,1998,1998,"Coach Cave, Mammoth Cave National Park, Edmonson County, Kentucky",US,Kentucky,Edmonson,,"Coach Cave, Mammoth Cave National Park","Lacki, M. J. 2015. Extralimital movement of Seminole bats (Lasiurus seminolus) into Kentucky. Journal of the Kentucky Academy of Science 75:80–84.",,"""a juvenile male, was captured on 13 Sep 1998 by J. R. MacGregor as part of a Bat Conservation International Workshop outside the entrance to Coach Cave at Mammoth Cave National Park in Edmonson County (Table 1).“""",1,,1
Literature,LABO,Lasiurus,LABO,,Fall,Fall. Prior to 1964.,1964,"Indiana, USA",US,Indiana,,,,"Mumford, R. E., and J. B. Cope. 1964. Distribution and status of the Chiroptera of Indiana. American Midland Naturalist:473–489.",,"""During fall, six to eight red bats can usually be captured each night in mist nets set across certain cave entrances. For some reason, this tree-inhabiting bat appears to enter such caves at night during fall migration""",1,,
Literature,LABL,Lasiurus,LABL,,,Tertiary period,1993,"Lasiurus blossevilii teeth in “MNA loc. 318, House Mt, Verde Fm., Arizona.”",US,Arizona,,,House Mountain,"Czaplewski, N. J. 1993. Late Tertiary Bats (Mammalia, Chiroptera) from the Southwestern United States. The Southwestern Naturalist 38:111–118.",,"Examining Tertiary teeth in museum collection, determined LABL based on size.",0,0,
Literature,LABO,Lasiurus,red bat,,,fossil,2006,"Admirals Cave, Bermuda",BM,,,,Admirals Cave,"Grady, F. V., and S. L. Olson. 2006. Fossil bats from quaternary deposits on Bermuda (Chiroptera: Vespertilionidae). Journal of Mammalogy 87:148–152.",,"Minimum 8 fossil individuals, stratigraphic units x,u,tailings.... etc.",0,0,
Literature,LABO,Lasiurus,red bat,,,fossil,2006,"Fern Sink Cave, Bermuda",BM,,,,Fern Sink Cave,"Grady, F. V., and S. L. Olson. 2006. Fossil bats from quaternary deposits on Bermuda (Chiroptera: Vespertilionidae). Journal of Mammalogy 87:148–152.",,"Minimum 1 fossil individuals, surface deposits",0,0,
Literature,LABO,Lasiurus,red bat,,,fossil,2006,"Walsingham Sink Cave, Bermuda",BM,,,,Walsingham Sink Cave,"Grady, F. V., and S. L. Olson. 2006. Fossil bats from quaternary deposits on Bermuda (Chiroptera: Vespertilionidae). Journal of Mammalogy 87:148–152.",,1 fossil individual,0,0,
Literature,LABO,Lasiurus,red bat,,,fossil,2006,"Convolvulus cave, Bermuda",BM,,,,Convolvulus Cave,"Grady, F. V., and S. L. Olson. 2006. Fossil bats from quaternary deposits on Bermuda (Chiroptera: Vespertilionidae). Journal of Mammalogy 87:148–152.",,Minimum 2 fossil individuals,0,0,
Literature,LABO,Lasiurus,red bat,,,fossil,2006,"Sibleys Cave, Bermuda",BM,,,,Sibleys Cave,"Grady, F. V., and S. L. Olson. 2006. Fossil bats from quaternary deposits on Bermuda (Chiroptera: Vespertilionidae). Journal of Mammalogy 87:148–152.",,1 fossil individual,0,0,
Literature,LASINS,Dasypterus,Lasiurus insularis,,,fossil,2010,"Serrania del Palenque, northwestern Cuba",CU,,,,Northwestern Cuba,"Orihuela, J. 2010. Late Holocene fauna from a cave deposit in Western Cuba: post-Columbian occurrence of the vampire bat Desmodus rotundus (Phyllostomidae: Desmodontinae). Caribbean Journal of Science 46:297–312.",,fossil humerus found in cave,0,0,
Literature,LAEG,Dasypterus,Lasiurus ega,,,fossil,2013,"Cebada Cave, Chiquibul Cave System, Belize",BZ,,,,Cebada camp,"Czaplewski, N. J., J. Krejca, and T. E. Miller. 2003. Late quaternary bats from Cebada Cave, Chiquibul cave system, Belize. Caribbean Journal of Science 39:23–33.",,"fossil bat found in cave, ""The specimens belong to a bat much larger than L. blossevillii and much smaller than L. intermedius""",0,0,
Literature,LABL,Lasiurus,Lasiurus blossevillii,,,fossil,2013,"Cebada Cave, Chiquibul Cave System, Belize",BZ,,,,Cebada camp,"Czaplewski, N. J., J. Krejca, and T. E. Miller. 2003. Late quaternary bats from Cebada Cave, Chiquibul cave system, Belize. Caribbean Journal of Science 39:23–33.",,"fossil remains of multiple ""specimens"" found in cave",0,0,
Literature,LABL,Lasiurus,Lasiurus blossevillii,,,fossil,1993,"MNA loc. 318, House Mt, Verde Fm., Arizona.",US,Arizona,,,House Mountain,"Czaplewski, N. J. 1993. Late Tertiary Bats (Mammalia, Chiroptera) from the Southwestern United States. The Southwestern Naturalist 38:111–118.",,fossil teeth. Determined blossevilli based on size,0,0,
Literature,LASINT,Dasypterus,Lasiurus intermedius,,,fossil,1974,"Devil's Den Cave, Williston, Levy County, Florida",US,Florida,Levy,Williston,Devil's Den Cave,"Martin, R. A., and S. D. Webb. 1974. Late pleistocene mammals from the devil’s den fauna, levy county. Pleistocene mammals of Florida:114–145.",,Lasiurus intermedius right mandible in Devil’s Den cave. Strata unknown.,0,0,
Literature,LASEGA,Dasypterus,Dasyperus ega panamensis,,,skull,1938,"Ebizt Cave, Oxkutzcab",MX,Oxkutzcab,,,Ebizt Cave,"Pearse, A., and R. Kellogg. 1938. Mammalia from yucatan caves. Pp. 301–304 in Fauna of the caves of the Yucatan.",,"""A skull was collected at the mouth of Ebizt Cave, Oxkutzcab, July 19 (123). Range: Panama and Yucatan.""",0,0,
Literature,LABL,Lasiurus,Lasiurus borealis mexicana,,,skull,1938,"Ebizt Cave, Oxkutzcab",MX,Oxkutzcab,,,Ebizt Cave,"Pearse, A., and R. Kellogg. 1938. Mammalia from yucatan caves. Pp. 301–304 in Fauna of the caves of the Yucatan.",,"""A skull was collected at the mouth of Ebizt Cave, Oxkutzcab, July 19 (123).”",0,0,
Literature,LACI,Aeorestes,Lasiurus cinereus,,,fossil skull,2019,"San Josecito Cave, Nuevo León, México",MX,Nuevo León,,,San Josecito Cave,"Jones, J. K. 2019. Pleistocene bats from San Josecito Cave, Nuevo Leon, Mexico. Good Press.",,"""One cranium, lacking basioccipital, tympanic and mastoid regions, and most of the dentition, having only M3 on the right side and M2-M3 on the left, LACM (CIT) 3160… A label with the skull bears the notation ""talus"" in parentheses, which, in so far as I am able to determine indicates surface talus inside the cave. Therefore, the specimen in question may be of Recent origin. It is perhaps worthy of note that Lasiurus cinereus is primarily a tree-dwelling bat, although a few Recent specimens have been reported from caves (see Beer, 1954:116).”",0,0,
Literature,LABO,Lasiurus,red bat,,7-9,"14 July -- 27 Oct, 1977",1977,"ROwland Cave, Arkansas",US,Arkansas,,,Rowland Cave,"Saugey, D. A., R. H. Baber, and V. R. McDaniel. 1978. Unusual Accumulation of Bat Remains from an Ozark Cave 32:3.","Saugey, D. A., R. L. Vaughn, B. G. Crump, and G. A. Heidt. 1998. Notes on the Natural History of Lasiurus borealis in Arkansas 52:8.",“Saugey (1978) reported the capture of 77 red bats in mist nets during swarming activity at Rowland cave between 14 July and 27 October of 1977”,1,,1
Literature,LASE,Lasiurus,Lasiurus seminolus,3,9,1982,1982,"Polk County, Arkansas",US,Arkansas,,,Rowland Cave,"Heath, D. R., G. A. Heidt, D. A. Saugey, and V. R. McDaniel. 1983. Arkansas Range Extensions of the Seminole Bat (Lasiurus seminolus) and Eastern Big-eared Bat (Plecotus rafinesquii) and Additional County Records for the Hoary Bat (Lasiurus cinereus), Silver-Haired Bat (Lasionycteris noctivagans) and Evening Bat... Journal of the Arkansas Academy of Science 37:90–91.",,"“On 3 September 1982 an adult female specimen was captured in a mist net outside the entrance to an abandoned mineshaft in Polk County.""",1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,11,Sampling November 2012 through April 2013,2013,"Cave 3, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,2 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,11,Sampling November 2012 through April 2013,2013,"Cave 5, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,2 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,11,Sampling November 2012 through April 2013,2013,"Cave 8, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,1 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,11,Sampling November 2012 through April 2013,2013,"Cave 10, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,1 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,12,Sampling November 2012 through April 2013,2013,"Cave 5, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,1 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,12,Sampling November 2012 through April 2013,2013,"Cave 6, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,1 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,12,Sampling November 2012 through April 2013,2013,"Cave 10, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,4 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,12,Sampling November 2012 through April 2013,2013,"Cave 11, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,9 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,12,Sampling November 2012 through April 2013,2013,"Cave 12, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,66 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,1,Sampling November 2012 through April 2013,2013,"Cave 3, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,2 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,1,Sampling November 2012 through April 2013,2013,"Cave 4, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,1 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,1,Sampling November 2012 through April 2013,2013,"Cave 5, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,1 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,1,Sampling November 2012 through April 2013,2013,"Cave 6, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,2 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,1,Sampling November 2012 through April 2013,2013,"Cave 7, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,1 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,1,Sampling November 2012 through April 2013,2013,"Cave 8, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,2 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,1,Sampling November 2012 through April 2013,2013,"Cave 9, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,4 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,1,Sampling November 2012 through April 2013,2013,"Cave 10, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,11 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,1,Sampling November 2012 through April 2013,2013,"Cave 12, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,58 feeding buzz(es) outside cave entrance,1,,1
Literature,LACISE,Aeorestes,Lasiurus cinereus,,2,Sampling November 2012 through April 2013,2013,"Cave 1, Mauna Loa Forest Reserve, Hawaii",US,Hawaii,,,Mauna Loa Forest Reserve,"Bonaccorso, F. J., K. Montoya-Aiona, C. A. Pinzari, and C. Todd. 2016. Winter distribution and use of high elevation caves as foraging sites by the endangered Hawaiin hoary bat, Lasiurus cinereus semotis.",,2 feeding buzz(es) outside cave entrance,1,,1
